original_string,original_docstring,modified_short_docstring,
"::Array<::Il2CppString*>* UnityEngine::AddressableAssets::ResourceLocators::ContentCatalogData::_get_m_ProviderIds() {
  static auto ___internal__logger = ::Logger::get().WithContext(""UnityEngine::AddressableAssets::ResourceLocators::ContentCatalogData::_get_m_ProviderIds"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""m_ProviderIds""))->offset;
  return *reinterpret_cast<::Array<::Il2CppString*>**>(reinterpret_cast<char*>(this) + ___internal__field__offset);
}","// Autogenerated instance field getter
// Get instance field: System.String[] m_ProviderIds
","/**
   * Check whether the specified name matches a value in the specified array.
   * @param name the name to check.
   * @param ignoreCase determines whether name comparisons should ignore case.
   * @param array the filter array to check against.
   * @param returnValueIfEmpty the value to return if the array is null or empty.
   * @return true if the name matches one of the values in the array, false otherwise.
   */",
"bool System::Collections::Hashtable::_get_isWriterInProgress() {
  static auto ___internal__logger = ::Logger::get().WithContext(""System::Collections::Hashtable::_get_isWriterInProgress"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""isWriterInProgress""))->offset;
  return *reinterpret_cast<bool*>(reinterpret_cast<char*>(this) + ___internal__field__offset);
}","// Autogenerated instance field getter
// Get instance field: private System.Boolean isWriterInProgress","/**
     * Returns the average log (base 2) joint probability of the
     * response category for cases of the specified reference
     * category.  If there are no cases matching the reference
     * category, the result is <code>Double.NaN</code>.
     *
     * <P>Better classifiers return high values when the reference
     * and response categories are the same and lower values
     * when they are different.  Unlike the conditional probability
     * values, joint probability averages are not particularly
     * useful because they are not normalized by input length.  For
     * the language model classifiers, the scores are normalized
     * by length, and provide a better cross-case view.
     *
     * @param refCategory Reference category.
     * @param responseCategory Response category.
     * @return Average log (base 2) conditional probability of
     * response category in cases for specified reference category.
     * @throws IllegalArgumentException If the either category is unknown.
     * @throws ClassCastException if the classifications are not joint
     * classifications.
     */",
"void Org::BouncyCastle::Crypto::Engines::XteaEngine::_set__sum0(::Array<uint>* value) {
  static auto ___internal__logger = ::Logger::get().WithContext(""Org::BouncyCastle::Crypto::Engines::XteaEngine::_set__sum0"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""_sum0""))->offset;
  *reinterpret_cast<::Array<uint>**>(reinterpret_cast<char*>(this) + ___internal__field__offset) = value;
}","// Autogenerated instance field setter
// Set instance field: private System.UInt32[] _sum0
",// Check if a TTL based K/V pair for a given key exists in the global area of the back-end data store.,
"bool delete_mutation(mutation_type which_mutation, const string &reason,
                     bool failMsg,
                     bool force_mutation, bool god_gift,
                     bool disallow_mismatch)
{
    god_gift |= crawl_state.is_god_acting();

    mutation_type mutat = which_mutation;

    if (!force_mutation)
    {
        if (!god_gift)
        {
            if (you.get_mutation_level(MUT_MUTATION_RESISTANCE) > 1
                && (you.get_mutation_level(MUT_MUTATION_RESISTANCE) == 3
                    || coinflip()))
            {
                if (failMsg)
                    mprf(MSGCH_MUTATION, ""You feel rather odd for a moment."");
                return false;
            }
        }

        if (undead_mutation_rot())
            return false;
    }

    if (which_mutation == RANDOM_MUTATION
        || which_mutation == RANDOM_XOM_MUTATION
        || which_mutation == RANDOM_GOOD_MUTATION
        || which_mutation == RANDOM_BAD_MUTATION
        || which_mutation == RANDOM_NON_SLIME_MUTATION
        || which_mutation == RANDOM_CORRUPT_MUTATION
        || which_mutation == RANDOM_QAZLAL_MUTATION)
    {
        while (true)
        {
            if (one_chance_in(1000))
                return false;

            mutat = static_cast<mutation_type>(random2(NUM_MUTATIONS));

            if (you.mutation[mutat] == 0
                && mutat != MUT_STRONG
                && mutat != MUT_CLEVER
                && mutat != MUT_AGILE
                && mutat != MUT_WEAK
                && mutat != MUT_DOPEY
                && mutat != MUT_CLUMSY)
            {
                continue;
            }

            if (which_mutation == RANDOM_NON_SLIME_MUTATION
                && is_slime_mutation(mutat))
            {
                continue;
            }

            // Check whether there is a non-innate level of `mutat` to delete
            if (you.get_base_mutation_level(mutat, false, true, true) == 0)
                continue;

            // MUT_ANTENNAE is 0, and you.attribute[] is initialized to 0.
            if (mutat && mutat == you.attribute[ATTR_APPENDAGE])
                continue;

            const mutation_def& mdef = _get_mutation_def(mutat);

            if (random2(10) >= mdef.weight && !is_slime_mutation(mutat))
                continue;

            const bool mismatch =
                (which_mutation == RANDOM_GOOD_MUTATION
                 && MUT_BAD(mdef))
                    || (which_mutation == RANDOM_BAD_MUTATION
                        && MUT_GOOD(mdef));

            if (mismatch && (disallow_mismatch || !one_chance_in(10)))
                continue;

            if (you.get_base_mutation_level(mutat, true, false, true) == 0)
                continue; // No non-transient mutations in this category to cure

            break;
        }
    }
    else if (which_mutation == RANDOM_SLIME_MUTATION)
    {
        mutat = _delete_random_slime_mutation();

        if (mutat == NUM_MUTATIONS)
            return false;
    }

    return _delete_single_mutation_level(mutat, reason, false); // won't delete temp mutations
}","/*
 * Delete a mutation level, accepting random mutation types and checking mutation resistance.
 * This will not delete temporary or innate mutations.
 *
 * @param which_mutation    a mutation, including random
 * @param reason            the reason for deletion
 * @param failMsg           whether to message the player on failure
 * @param force_mutation    whether to try to override certain cases where the mutation would otherwise fail
 * @param god_gift          is the mutation a god gift?  Will also override certain cases.
 * @param disallow_mismatch for random mutations, do we override good/bad designations in `which_mutation`? (??)
 *
 * @return true iff a mutation was applied.
 */","/**
     * Test making a simple torrent with a single file
     *
     * @throws IOException on failure
     */",
"bool ReadINode(int dirfd, const char* path, const char* prefix, ino_t* inode) {
  char linkbuf[64];
  ssize_t nread = readlinkat(dirfd, path, linkbuf, sizeof(linkbuf));
  if (nread <= 0 || nread >= ssizeof(linkbuf) - 1) return false;
  linkbuf[nread] = '\0';
  if (linkbuf[nread - 1] != ']') return false;

  size_t prefix_len = std::strlen(prefix);
  if (std::strncmp(linkbuf, prefix, prefix_len) != 0) return false;
  if (std::strncmp(linkbuf + prefix_len, "":["", 2) != 0) return false;

  // Parse inode value as decimal
  char* endp;
  uintmax_t parsed = std::strtoumax(linkbuf + prefix_len + 2, &endp, 10);
  if (*endp != ']') return false;
  *inode = static_cast<ino_t>(parsed);
  return true;
}","// ReadINode reads the inode from the symlink of form '<prefix>:[<inode>]' of the given path. If an error is encountered
// or the inode symlink doesn't have the correct prefix, false is returned.","/**
     * Parses properties from task result
     *
     * @param taskResult - JSON formatted set of properties
     */",
"std::string TokenCountsToString(const std::map<ObjectIdentifier, int>& token_counts) {
  std::ostringstream stream;
  for (const auto& token : token_counts) {
    stream << ""\n"" << token.first << "" "" << token.second;
  }
  return stream.str();
}",// Converts a map of ObjectIdentifier counts to a string listing them.,"/*
        Test whenever some/or all parameters were not passed within the
        Endpoint
     */",
"int EpollEventToString(const uint32_t event, char* const events_string, const size_t n) {
    if (!(events_string && n)) return 0;

#define DOALL(DOONE) \
    DOONE(IN)\
    DOONE(PRI)\
    DOONE(OUT)\
    DOONE(ERR)\
    DOONE(HUP)\
    DOONE(RDNORM)\
    DOONE(RDBAND)\
    DOONE(WRNORM)\
    DOONE(WRBAND)\
    DOONE(MSG)\
    DOONE(RDHUP)\
    DOONE(EXCLUSIVE)\
    DOONE(WAKEUP)\
    DOONE(ONESHOT)\
    DOONE(ET)\

#define EVENT_TO_STRING(x) \
    if (EPOLL##x == event) {\
        static const char s[] = #x;\
        const size_t num_bytes_to_write = sizeof(s);\
        if (n < num_bytes_to_write) return 0;\
        strncpy(events_string, s, num_bytes_to_write);\
        return num_bytes_to_write - 1;\
    }

    DOALL(EVENT_TO_STRING)
#undef EVENT_TO_STRING
#undef DOALL

    // snprintf returns the number of characters in the desired rendered string, EXCLUDING null-terminator.
    // Therefore, string has been completely written only if returned value is positive and less than n.
    const int e = snprintf(events_string, n, ""%x"", event);

    return ((e > 0) && (static_cast<size_t>(e) < n)) ? e : 0;
}","// returns number of characters correctly written, EXCLUDING null-terminator
// events_string will contain the null-terminator if return value > 0.
","/**
     * Start the current sensor selected by user
     *
     * @param evt
     */",
"void BinaryEncodingCNL::DoAll()
{
    std::vector<ForwardJmpOffset> offsetVector;
    FixInst();
    BinaryEncodingBase::InitPlatform();
    // BDW/CHV/SKL/BXT/CNL use the same compaction tables except from 3src.
    for (uint8_t i=0; i<(int)COMPACT_TABLE_SIZE; i++)
    {
        BDWCompactControlTable.AddIndex(IVBCompactControlTable[i], i);
        BDWCompactSourceTable.AddIndex(IVBCompactSourceTable[i], i);
        BDWCompactSubRegTable.AddIndex(IVBCompactSubRegTable[i], i);
        BDWCompactSubRegTable.AddIndex1(IVBCompactSubRegTable[i] & 0x1F, i);
        BDWCompactSubRegTable.AddIndex2(IVBCompactSubRegTable[i] & 0x3FF, i);
        if (getGenxPlatform() >= GENX_ICLLP)
        {
            BDWCompactDataTypeTableStr.AddIndex(ICLCompactDataTypeTable[i], i);
        }
        else
        {
            BDWCompactDataTypeTableStr.AddIndex(BDWCompactDataTypeTable[i], i);
        }
    }

    int globalInstNum = 0;
    int globalHalfInstNum = 0;
    int numCompactedInst = 0;
    int numCompacted3SrcInst = 0;

    BB_LIST_ITER ib, bend(kernel.fg.end());
    for (ib = kernel.fg.begin(); ib != bend; ++ib)
    {
        G4_BB *bb = *ib;
        int localInstNum = 0;
        int localHalfInstNum = 0;

        /**
         * Traverse the instruction lists
         */
        INST_LIST_ITER ii, iend(bb->end());
        for (ii = bb->begin(); ii != iend; ++ii)
        {
            /* do detailed encoding here */
            G4_INST *inst = *ii;
            G4_opcode opcode = inst->opcode();

            if (opcode == G4_label)
            {
                inst->setBinInst(NULL);
            } else {
                // reuse ""BinInst"" from BinaryEncoding.h which can be simplified
                BinInst *bin = new (mem) BinInst();
                inst->setBinInst(bin);

                bin->DWords[0] = 0;
                bin->DWords[1] = 0;
                bin->DWords[2] = 0;
                bin->DWords[3] = 0;

                DoAllEncoding(inst);

                if (inst->opcode() == G4_pseudo_fc_call ||
                   inst->opcode() == G4_pseudo_fc_ret)
                {
                    inst->getBinInst()->SetDontCompactFlag(true);
                }

                if (doCompaction())
                {
                    inst->getBinInst()->SetMustCompactFlag(false);
                    inst->getBinInst()->SetDontCompactFlag(inst->isNoCompactedInst());

                    /**
                     * handling switch/case for gen6: jump table should not be compacted
                     */
                    bool compacted;
                    {
                        TIME_SCOPE(ENCODE_COMPACTION);
                        compacted = BinaryEncodingBase::compactOneInstruction(inst);
                    }

                    if (compacted)
                    {
                        if (kernel.getOption(vISA_OptReport))
                        {
                            numCompactedInst++;
                            if (inst->getBinInst()->GetIs3Src())
                                numCompacted3SrcInst++;
                        }
                        inst->setCompacted();
                    }
                }
                binInstList.push_back(inst->getBinInst());

                if (inst->opcode() >= G4_jmpi && inst->opcode() <= G4_join)
                {
                    if (!EncodeConditionalBranches(inst, globalHalfInstNum))
                    {
                        offsetVector.push_back(ForwardJmpOffset(inst, globalHalfInstNum));
                    }
                }
            } //else

            BuildLabelMap(inst, localHalfInstNum, localInstNum,
                          globalHalfInstNum, globalInstNum);
        } // for inst
    } // for bb

    kernel.setAsmCount(globalInstNum);
    SetInstCounts((uint32_t)globalHalfInstNum);

    EncodingHelper::dumpOptReport(globalInstNum, numCompactedInst, numCompacted3SrcInst, kernel);
    for (auto x = offsetVector.begin(), vEnd = offsetVector.end(); x != vEnd; x++)
    {
        if (!EncodeConditionalBranches(x->inst, x->offset))
        {
            MUST_BE_TRUE(false, ""invalid label!"");
        }
    }
}","/// \brief Entry point.
///
/// This is counterpart of ProduceBinaryInstructions from 'old' encoder","// Wrapper for the C function void glClipPlanef ( GLenum plane, const GLfloat *equation )",
"System::IDisposable* Zenject::DisposableManager::DisposableInfo::_get_Disposable() {
  static auto ___internal__logger = ::Logger::get().WithContext(""Zenject::DisposableManager::DisposableInfo::_get_Disposable"");
  auto ___internal__instance = *this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""Disposable""))->offset;
  return *reinterpret_cast<System::IDisposable**>(reinterpret_cast<char*>(this) + ___internal__field__offset);
}","// Completed includes
// Autogenerated instance field getter
// Get instance field: public System.IDisposable Disposable",/** Returns the entry with greatest key less than or equal to given key(if any)*/,
"void GlobalNamespace::PlayerSaveDataV1_0_1::PlayerSpecificSettings::_set_advancedHud(bool value) {
  static auto ___internal__logger = ::Logger::get().WithContext(""GlobalNamespace::PlayerSaveDataV1_0_1::PlayerSpecificSettings::_set_advancedHud"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""advancedHud""))->offset;
  *reinterpret_cast<bool*>(reinterpret_cast<char*>(this) + ___internal__field__offset) = value;
}","// Autogenerated instance field setter
// Set instance field: public System.Boolean advancedHud
","/**
	 * Write material to the output stream
	 * @param output stream
	 * @param material
	 * @throws IOException
	 */",
"func (b *Board) GetIsValid() bool {
	if b == nil || b.IsValid == nil {
		return false
	}
	return *b.IsValid
}","// GetIsValid returns the IsValid field if it's non-nil, zero value otherwise.","#
# Get the schema configuration at the API level.
#
# @param next_page_link [String] The NextLink from the previous successful call
# to List operation.
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",
"func (client BaseClient) Unsubscribe4Responder(resp *http.Response) (result autorest.Response, err error) {
        err = autorest.Respond(
        resp,
        client.ByInspecting(),
        azure.WithErrorUnlessStatusCode(http.StatusOK),
        autorest.ByClosing())
        result.Response = resp
            return
        }","// Unsubscribe4Responder handles the response to the Unsubscribe4 request. The method always
// closes the http.Response Body.","# gets a range inbetween min and max by key
# could guarantee lexographical order when limit not used",
"func buildGVKPredicate(logger *log.Log) predicate.Funcs {
	logger = logger.WithName(""buildGVKPredicate"")
	return predicate.Funcs{
		UpdateFunc: updateFunc(logger),
		DeleteFunc: func(e event.DeleteEvent) bool {
			// evaluates to false if the object has been confirmed deleted
			return !e.DeleteStateUnknown
		},
	}
}","// buildGVKPredicate construct the predicates for all other GVKs, unless SBR.",# Sign a cert if one is waiting,
